Question,optionA,optionB,optionC,optionD,Answer
Q.Solve the equation for \(x\): \(2x^2 - 5x + 3 = 0\).,"A)\(x = 1, \frac{3}{2}\)","B)\(x = 2, \frac{1}{2}\)","C)\(x = \frac{3}{2}, 1\)","D)\(x = \frac{1}{2}, 2\)",Answer: C
Q.What is the value of \(\sqrt{121}\)?,A)10,B)11,C)12,D)13,Answer: B
"Q.If \(f(x) = \frac{2x + 1}{x - 2}\), find \(f(2)\).",A)0,B)Undefined,C)1,D)2,Answer: B
Q.Evaluate the expression: \(\frac{3!}{2!}\).,A)1,B)2,C)3,D)6,Answer: D
Q.Solve the system of equations:\[2x + 3y = 7\]\[4x - 2y = 6\],"A)\(x = 2, y = 1\)","B)\(x = 1, y = 2\)","C)\(x = 3, y = -1\)","D)\(x = -1, y = 3\)",Answer:A
"Q.If \(a = 5\) and \(b = 12\), what is the value of \(a^2 + 2ab + b^2\)?",A)144,B)169,C)196,D)225,Answer: D
Q.Find the derivative of \(g(x) = e^{2x}\) with respect to \(x\).,A)\(2e^{2x}\),B)\(e^{2x}\),C)\(4e^{2x}\),D)\(e^{4x}\),Answer: C
Q.What is the value of \(\sin^2(30^\circ) + \cos^2(30^\circ)\)?,A)0,B)1,C)\(\frac{\sqrt{3}}{2}\),D)\(\frac{1}{2}\),Answer: B
"Q.If \(log_{10} x = 2\), what is the value of \(x\)?",A)10,B)100,C)1/10,D)1/100,Answer: B
Q.Solve the inequality: \(3x - 2 > 4x + 1\).,A)\(x < -3\),B)\(x > -3\),C)\(x < 3\),D)\(x > 3\),Answer: A
Q.What is the value of \(\cos^2(45^\circ) - \sin^2(45^\circ)\)?,A)0,B)1,C)-1,D)2,Answer: A
Q.Solve for \(x\) in the equation: \(\frac{1}{2}x + \frac{1}{3} = \frac{2}{3}x - 1\).,A)\(x = 9\),B)\(x = -9\),C)\(x = 5\),D)\(x = -5\),Answer: A
"Q.If \(a + b = 7\) and \(ab = 12\), what are the values of \(a\) and \(b\)?","A)\(a = 3, b = 4\)","B)\(a = 4, b = 3\)","C)\(a = 2, b = 6\)","D)\(a = 6, b = 2\)",Answer: A
Q.Find the value of \(tan(60^\circ)\).,A)\(\sqrt{3}\),B)\(\frac{\sqrt{3}}{3}\),C)\(\frac{1}{\sqrt{3}}\),D)\(\frac{\sqrt{3}}{2}\),Answer: A
Q.Solve the equation: \(|2x - 1| = 3\).,A)\(x = 2\),B)\(x = 1\),C)\(x = -1\),D)\(x = 0\),Answer: A
Q.What is the value of \(\cot(45^\circ)\)?,A)1,B)0,C)-1,D)Undefined,Answer: A
"Q.If \(x^2 - 4x + 4 = 0\), what can be said about the roots of the quadratic equation?",A)Real and distinct,B)Real and equal,C)Imaginary,D)Undefined,Answer: B
Q.Choose the correct statement about the function \(h(x) = \sqrt{x^2 + 4}\),A)The function is even,B)The function is odd,C)The function is neither even nor odd,D)The function is both even and odd,Answer: C
Q.What is the value of \(log_2 16\)?,A)2,B)3,C)4,D)5,Answer: C
"Q.If \(x + \frac{1}{x} = 3\), find the value of \(x^2 + \frac{1}{x^2}\).",A)5,B)6,C)7,D)8,Answer: A
Q.Solve for \(x\) in the equation: \(\sin^2 x = \frac{1}{4}\).,A)\(x = \frac{\pi}{6}\),B)\(x = \frac{\pi}{4}\),C)\(x = \frac{\pi}{3}\),D)\(x = \frac{\pi}{2}\),Answer: B
"Q.Choose the correct statement about the arithmetic progression: \(3, 6, 9, 12, \ldots\)",A)Common difference = 2,B)Common difference = 3,C)Common difference = 4,D)Common difference = 6,Answer: B
"Q.If \(\tan(\theta) = \frac{3}{4}\), what is the value of \(\sin(\theta)\)?",A)\(\frac{3}{5}\),B)\(\frac{4}{5}\),C)\(\frac{1}{5}\),D)\(\frac{2}{3}\),Answer: A
Q.Find the value of \(\frac{d}{dx} (e^{2x} - \ln x)\).,A)\(2e^{2x} - \frac{1}{x}\),B)\(2e^{2x} + \frac{1}{x}\),C)\(4e^{2x} - \frac{1}{x}\),D)\(4e^{2x} + \frac{1}{x}\),Answer: A
"Q.If \(\sin(\alpha) = \frac{3}{5}\), what is the value of \(\cos(\alpha)\)?",A)\(\frac{4}{5}\),B)\(\frac{3}{4}\),C)\(\frac{1}{5}\),D)\(\frac{2}{3}\),Answer: A
Q.Identify the term for the set of all possible outcomes of a probability experiment:,A)Event,B)Sample space,C)Complement,D)Probability distribution,Answer: B
Q.Solve for \(x\) in the equation: \(\log_3 (x^2) = 4\).,A)\(x = 9\),B)\(x = 81\),C)\(x = 27\),D)\(x = 3\),Answer: C
Q.What is the value of \(\lim_{x \to 0} \frac{\sin 2x}{x}\)?,A)1,B)2,C)0,D)Undefined,Answer: B
"Q.If \(a - b = 3\) and \(ab = -4\), what are the values of \(a\) and \(b\)?","A)\(a = 4, b = 1\)","B)\(a = 1, b = 4\)","C)\(a = -4, b = 1\)","D)\(a = -1, b = 4\)",Answer: C
