Question,optionA,optionB,optionC,optionD,Answer

Q. Which of the following is a non-Arrhenius acid?,A) HCl,B) HNO3,C) H2SO4,D) H2CO3,Answer: D

Q. What is the ground-state electron configuration of a neutral oxygen atom?,A) 1s2 2s2 2p4,B) 1s2 2s2 2p6,C) 1s2 2s2 2p5,D) 1s2 2s2 2p3,Answer: A

"Q. In the reaction 2H2O2 -> 2H2O + O2, what is the oxidizing agent?",A) H2O2,B) H2O,C) O2,D) None of the above,Answer: A

Q. What is the shape of the PCl5 molecule?,A) Trigonal bipyramidal,B) Tetrahedral,C) Octahedral,D) Square planar,Answer: A

"Q. In the context of organic chemistry, what is the E/Z isomerism also known as?",A) Conformational isomerism,B) Geometric isomerism,C) Optical isomerism,D) Structural isomerism,Answer: B

Q. What is the Van't Hoff factor for NaCl in aqueous solution?,A) 1,B) 2,C) 3,D) 4,Answer: A

Q. Which of the following molecules exhibits resonance?,A) CO2,B) SO2,C) O3,D) CH4,Answer: C

"Q. In the Haber process for ammonia production, the catalyst used is:",A) Iron oxide,B) Platinum,C) Vanadium pentoxide,D) Nickel,Answer: A

Q. The number of radial nodes of 3s and 2p orbitals are respectively:,"A) 1, 0","B) 2, 1","C) 0, 1","D) 1, 2",Answer: A

Q. The correct order of increasing bond angle in the following species is:,A) H2O < NH3 < CH4,B) NH3 < H2O < CH4,C) CH4 < NH3 < H2O,D) NH3 < CH4 < H2O,Answer: A

"Q. The correct order of increasing first ionization enthalpy for the elements B, C, N, O, and F is:",A) B < C < O < N < F,B) B < O < C < N < F,C) O < B < C < N < F,D) B < C < N < F < O,Answer: A

Q. The correct order of atomic radii in group 13 elements is:,A) B < Al < Ga < In < Tl,B) Tl < In < Ga < Al < B,C) B < Al < In < Ga < Tl,D) B < Ga < Al < In < Tl,Answer: A

Q. The IUPAC name of the compound CH3CH2COOH is:,A) Ethanoic acid,B) Methanoic acid,C) Propanoic acid,D) Butanoic acid,Answer: C

Q. The correct order of increasing acidic strength of the following acids is:,A) HCl < HBr < HI < HF,B) HF < HCl < HBr < HI,C) HI < HBr < HCl < HF,D) HBr < HI < HCl < HF,Answer: B

Q. The correct order of increasing bond length in the following species is:,A) F2 < Cl2 < Br2 < I2,B) I2 < Br2 < Cl2 < F2,C) Cl2 < Br2 < I2 < F2,D) Br2 < I2 < Cl2 < F2,Answer: A

"Q. The correct order of increasing electron gain enthalpy for the elements O, S, Se, Te, and Po is:",A) O < S < Se < Te < Po,B) Po < Te < Se < S < O,C) S < O < Se < Te < Po,D) O < S < Te < Se < Po,Answer: B

Q. The IUPAC name of the compound CH3COCH3 is:,A) Ethanal,B) Propanone,C) Ethanol,D) Propanal,Answer: B

