Question,optionA,optionB,optionC,optionD,Answer
Q. What is the sum of the interior angles in a triangle?,A) 90 degrees,B) 120 degrees,C) 180 degrees,D) 360 degrees,Answer: C
"Q. In a right-angled triangle, the side opposite the right angle is called:",A) Hypotenuse,B) Base,C) Altitude,D) Perpendicular,Answer: A
Q. The angle sum property of a quadrilateral is:,A) 180 degrees,B) 360 degrees,C) 90 degrees,D) 270 degrees,Answer: B
Q. What is the measure of each exterior angle of a regular hexagon?,A) 30 degrees,B) 45 degrees,C) 60 degrees,D) 120 degrees,Answer: C
"Q. If two angles of a triangle are 30 degrees and 45 degrees, what is the measure of the third angle?",A) 45 degrees,B) 60 degrees,C) 75 degrees,D) 90 degrees,Answer: D
Q. The area of a parallelogram is given by the formula:,A) Base × Height,B) 1/2 × Base × Height,C) Length × Width,D) Perimeter × Height,Answer: A
Q. The volume of a cube with side length 'a' is:,A) a^2,B) a^3,C) 2a,D) 4a,Answer: B
"Q. If a circle has a radius of 5 units, what is its diameter?",A) 5 units,B) 10 units,C) 15 units,D) 20 units,Answer: B
Q. What is the measure of each interior angle of a regular pentagon?,A) 60 degrees,B) 72 degrees,C) 108 degrees,D) 120 degrees,Answer: B
Q. The formula for the area of a trapezium is:,A) (Base1 + Base2) × Height / 2,B) Length × Width,C) πr^2,D) 2 × (Length + Width),Answer: A
"Q. In a right-angled triangle, the side opposite the right angle is called:",A) Hypotenuse,B) Base,C) Altitude,D) Perpendicular,Answer: A
Q. The sum of the measures of all interior angles of a hexagon is:,A) 120 degrees,B) 360 degrees,C) 540 degrees,D) 720 degrees,Answer: B
Q. The area of a circle is given by the formula:,A) πr^2,B) 2πr,C) 1/2 × πr^2,D) 4/3 × πr^3,Answer: A
"Q. If two angles of a triangle are 60 degrees and 80 degrees, what is the measure of the third angle?",A) 40 degrees,B) 60 degrees,C) 80 degrees,D) 100 degrees,Answer: A
Q. The volume of a cone with radius 'r' and height 'h' is given by the formula:,A) 1/3 × πr^2 × h,B) πr^2 × h,C) 1/2 × πr^2 × h,D) 4/3 × πr^3 × h,Answer: A
Q. The diagonals of a rectangle are:,A) Equal,B) Parallel,C) Perpendicular,D) None of the above,Answer: C
"Q. If two angles of a parallelogram are 75 degrees and 105 degrees, what is the measure of the other two angles?",A) 75 degrees each,B) 105 degrees each,C) 75 degrees and 105 degrees,D) 180 degrees each,Answer: D
Q. The surface area of a cube with side length 'a' is:,A) 6a,B) 4a,C) 2a,D) a^2,Answer: A
