Question,Option A,Option B,Option C,Option D,Answer
"Q. Who is the author of ""To Kill a Mockingbird""?",A) Harper Lee,B) J.K. Rowling,C) Stephen King,D) Charles Dickens,Answer: A
Q. What literary device is used when a non-human object is given human characteristics?,A) Foreshadowing,B) Personification,C) Simile,D) Metaphor,Answer: B
"Q. What is the main theme of George Orwell's ""1984""?",A) Love conquers all,B) The importance of family,C) Totalitarianism and loss of freedom,D) Pursuit of happiness,Answer: C
Q. What is the term for a word that is the opposite in meaning to another word?,A) Synonym,B) Homonym,C) Antonym,D) Homophone,Answer: C
Q. What is the term for the main character in a story?,A) Protagonist,B) Antagonist,C) Sidekick,D) Foil,Answer: A
"Q. Who wrote ""The Great Gatsby""?",A) F. Scott Fitzgerald,B) Ernest Hemingway,C) John Steinbeck,D) Virginia Woolf,Answer: A
Q. What literary term refers to hints or clues that suggest events that will occur later in the plot?,A) Symbolism,B) Irony,C) Foreshadowing,D) Imagery,Answer: C
"Q. In poetry, what is the term for the repetition of consonant sounds at the beginning of words?",A) Alliteration,B) Assonance,C) Consonance,D) Onomatopoeia,Answer: A
"Q. What type of poem consists of fourteen lines, usually written in iambic pentameter?",A) Haiku,B) Sonnet,C) Villanelle,D) Limerick,Answer: B
Q. What literary term refers to the emotional atmosphere created by a piece of writing?,A) Tone,B) Mood,C) Style,D) Theme,Answer: B
Q. What is the term for a long narrative poem that typically deals with heroic themes?,A) Epic,B) Ballad,C) Lyric,D) Sonnet,Answer: A
"Q. Who wrote ""Pride and Prejudice""?",A) Jane Austen,B) Emily Brontë,C) Charlotte Brontë,D) Virginia Woolf,Answer: A
Q. What is the term for a figure of speech in which an exaggerated statement is used for effect?,A) Simile,B) Hyperbole,C) Metaphor,D) Alliteration,Answer: B
Q. What literary term refers to the central idea or message of a work of literature?,A) Symbolism,B) Irony,C) Theme,D) Allegory,Answer: C
"Q. Who wrote the play ""Romeo and Juliet""?",A) William Shakespeare,B) Christopher Marlowe,C) Ben Jonson,D) John Donne,Answer: A
"Q. In a story, what is the term for the sequence of events that make up the plot?",A) Setting,B) Conflict,C) Resolution,D) Narrative,Answer: D
Q. What literary term refers to the use of words to imitate sounds?,A) Onomatopoeia,B) Alliteration,C) Assonance,D) Consonance,Answer: A
"Q. Who wrote ""Hamlet""?",A) William Shakespeare,B) Geoffrey Chaucer,C) John Milton,D) Dante Alighieri,Answer: A
Q. What is the term for a short story that typically features supernatural elements?,A) Fable,B) Allegory,C) Parable,D) Myth,Answer: A
Q. What literary term refers to the use of words to create mental images for the reader?,A) Symbolism,B) Imagery,C) Allusion,D) Allegory,Answer: B
"Q. Who wrote ""The Catcher in the Rye""?",A) J.D. Salinger,B) Ernest Hemingway,C) F. Scott Fitzgerald,D) John Steinbeck,Answer: A
Q. What is the term for the perspective from which a story is told?,A) Tone,B) Mood,C) Point of view,D) Theme,Answer: C
Q. What is the term for a play on words that relies on two words having similar or identical sounds but different meanings?,A) Irony,B) Pun,C) Paradox,D) Oxymoron,Answer: B
"Q. Who wrote ""Moby-Dick""?",A) Herman Melville,B) Nathaniel Hawthorne,C) Mark Twain,D) Edgar Allan Poe,Answer: A
"Q. What is the term for the use of humor, irony, exaggeration, or ridicule to expose and criticize people's stupidity or vices?",A) Satire,B) Parody,C) Allegory,D) Irony,Answer: A
"Q. What literary term refers to a comparison between two unlike things using ""like"" or ""as""?",A) Simile,B) Metaphor,C) Alliteration,D) Hyperbole,Answer: A
"Q. Who wrote ""The Odyssey""?",A) Homer,B) Virgil,C) Sophocles,D) Euripides,Answer: A
Q. What is the term for the emotional release experienced by the audience at the end of a tragedy?,A) Catharsis,B) Irony,C) Paradox,D) Allegory,Answer: A
"Q. Who wrote ""Brave New World""?",A) Aldous Huxley,B) George Orwell,C) Ray Bradbury,D) H.G. Wells,Answer: A
"Q. What is the term for a recurring symbol, character, or theme in literature that represents a universal human experience?",A) Motif,B) Imagery,C) Foil,D) Allegory,Answer: A
