Question,optionA,optionB,optionC,optionD,Answer
Q. What event marked the beginning of World War I?,A) The sinking of the Lusitania,B) The assassination of Archduke Franz Ferdinand,C) The invasion of Poland,D) The signing of the Treaty of Versailles,Answer: B
Q. Who was the first President of the United States?,A) Thomas Jefferson,B) George Washington,C) John Adams,D) James Madison,Answer: B
Q. In which century did the Renaissance occur?,A) 15th,B) 16th,C) 17th,D) 18th,Answer: A
Q. The Indus Valley Civilization was primarily located in present-day...,A) India and Pakistan,B) China and Mongolia,C) Egypt and Sudan,D) Greece and Turkey,Answer: A
Q. Who was the leader of the Indian independence movement who employed nonviolent civil disobedience?,A) Jawaharlal Nehru,B) Mahatma Gandhi,C) Subhas Chandra Bose,D) Sardar Patel,Answer: B
Q. The French Revolution began in which year?,A) 1776,B) 1789,C) 1804,D) 1830,Answer: B
Q. The ancient city of Rome was said to be founded by...,A) Julius Caesar,B) Augustus,C) Romulus and Remus,D) Hannibal,Answer: C
Q. The Cold War was primarily a conflict between...,A) The United States and the Soviet Union,B) France and Germany,C) China and Japan,D) India and Pakistan,Answer: A
"Q. The Treaty of Versailles, signed after World War I, imposed heavy penalties on which country?",A) Germany,B) Italy,C) France,D) Britain,Answer: A
Q. The Boxer Rebellion took place in...,A) China,B) India,C) Japan,D) Vietnam,Answer: A
Q. Who was the queen of ancient Egypt known for her alliance with Julius Caesar and Mark Antony?,A) Nefertiti,B) Cleopatra,C) Hatshepsut,D) Ramses II,Answer: B
"Q. The Magna Carta, signed in 1215, is considered a milestone in the development of...",A) Democracy,B) Absolute monarchy,C) Feudalism,D) Communism,Answer: A
"Q. The Berlin Wall, a symbol of the Cold War, fell in which year?",A) 1989,B) 1979,C) 1961,D) 1991,Answer: A
Q. Who was the leader of the Soviet Union during much of the Cold War?,A) Vladimir Putin,B) Joseph Stalin,C) Mikhail Gorbachev,D) Nikita Khrushchev,Answer: C
Q. The Opium Wars involved conflicts between China and...,A) Britain,B) France,C) Japan,D) Russia,Answer: A
"Q. Who is often referred to as the ""Father of Modern Physics"" for his theories of relativity?",A) Isaac Newton,B) Albert Einstein,C) Galileo Galilei,D) Marie Curie,Answer: B
"Q. The Marshall Plan, initiated after World War II, aimed at...",A) Rebuilding Europe,B) Containing the spread of communism,C) Colonizing Africa,D) Establishing a global trade organization,Answer: A
Q. The Battle of Gettysburg was a significant conflict during which war?,A) American Civil War,B) World War I,C) Napoleonic Wars,D) Revolutionary War,Answer: A
Q. The Great Depression of the 1930s was characterized by...,A) Economic prosperity,B) Hyperinflation,C) Severe economic downturn,D) Rapid industrialization,Answer: C
Q. The Renaissance began in which Italian city?,A) Florence,B) Rome,C) Venice,D) Milan,Answer: A
Q. Who was the leader of the Bolsheviks during the Russian Revolution?,A) Vladimir Lenin,B) Joseph Stalin,C) Leon Trotsky,D) Nicholas II,Answer: A
"Q. The Treaty of Ghent, signed in 1814, ended which conflict?",A) The American Revolution,B) The Napoleonic Wars,C) The War of 1812,D) The French and Indian War,Answer: C
"Q. The ""Cultural Revolution"" was a social-political movement in which country?",A) China,B) Russia,C) India,D) Germany,Answer: A
Q. The Mughal Empire reached its height under the rule of...,A) Akbar,B) Babur,C) Aurangzeb,D) Shah Jahan,Answer: A
"Q. The League of Nations, established after World War I, aimed to...",A) Promote international cooperation and prevent future wars,B) Expand colonial empires,C) Establish a global currency,D) Enforce punitive measures against defeated nations,Answer: A
"Q. The Cuban Missile Crisis, a confrontation between the United States and the Soviet Union, occurred in which year?",A) 1956,B) 1962,C) 1975,D) 1989,Answer: B
"Q. The ""Long March"" was a military retreat by which communist forces?",A) Chinese Communists,B) Soviet Communists,C) Cuban Communists,D) Vietnamese Communists,Answer: A
Q. The partition of India in 1947 resulted in the creation of which two independent nations?,A) India and Pakistan,B) India and Bangladesh,C) Pakistan and Afghanistan,D) India and Nepal,Answer: A
"Q. The Mayflower Compact, signed in 1620, was a key step in the establishment of...",A) The English Civil War,B) The American colonies,C) The French Revolution,D) The Magna Carta,Answer: B
