Question,optionA,optionB,optionC,optionD,Answer
"Q. If every cat has a tail, and Fluffy is a cat, what can you conclude?",A) Fluffy has a tail,B) Fluffy is a dog,C) Cats don't have tails,D) Fluffy is tailless,Answer: A
"Q. If all humans are mortal and Socrates is a human, what can be logically inferred?",A) Socrates is mortal,B) Socrates is immortal,C) Humans are immortal,D) Mortals are human,Answer: A
"Q. If the sun rises in the east, which cardinal direction is opposite to the east?",A) South,B) West,C) North,D) Southeast,Answer: B
"Q. If a shirt costs $20 after a 25% discount, what was its original price?",A) $10,B) $15,C) $25,D) $30,Answer: D
"Q. What comes next in the sequence: 2, 5, 10, 17, ...?",A) 22,B) 25,C) 26,D) 27,Answer: D
"Q. If a square has sides of length 5, what is its perimeter?",A) 15,B) 20,C) 25,D) 30,Answer: B
"Q. If ""APPLE"" is coded as ""52091"", how is ""ORANGE"" coded?",A) 155719,B) 155071,C) 155197,D) 157059,Answer: C
"Q. If 3x - 5 = 10, what is the value of x?",A) 5,B) 3,C) 4,D) 2,Answer: C
"Q. What is the missing number in the sequence: 8, 12, 18, __, 30?",A) 20,B) 22,C) 24,D) 25,Answer: C
"Q. If a clock shows 3:15, what is the angle between the hour and minute hands?",A) 30 degrees,B) 45 degrees,C) 60 degrees,D) 75 degrees,Answer: B
"Q. If ""CAT"" is coded as ""312"", how is ""DOG"" coded?",A) 415,B) 518,C) 614,D) 714,Answer: B
"Q. If the square root of x is 9, what is the value of x?",A) 81,B) 18,C) 9,D) 72,Answer: A
"Q. If a bag contains 8 red and 4 green balls, what is the probability of drawing a red ball?",A) 1/3,B) 1/2,C) 2/3,D) 3/4,Answer: C
"Q. What is the next letter in the sequence: A, C, E, G, ...?",A) I,B) H,C) J,D) F,Answer: C
"Q. If a rectangle has a length of 12 units and a width of 5 units, what is its area?",A) 60 square units,B) 50 square units,C) 45 square units,D) 30 square units,Answer: A
"Q. If the day after tomorrow is a Sunday, what day is it today?",A) Thursday,B) Friday,C) Saturday,D) Monday,Answer: A
"Q. If the sequence is: 1, 4, 9, 16, ..., what is the next number?",A) 24,B) 25,C) 26,D) 27,Answer: B
"Q. If the ratio of boys to girls in a class is 2:3 and there are 15 girls, how many boys are there?",A) 8,B) 10,C) 12,D) 18,Answer: A
"Q. If a car travels at a speed of 60 miles per hour, how far will it travel in 2.5 hours?",A) 100 miles,B) 125 miles,C) 150 miles,D) 175 miles,Answer: C
"Q. What is the missing number in the sequence: 2, 6, 12, 20, __?",A) 30,B) 36,C) 40,D) 42,Answer: D
"Q. If the product of two numbers is 48, and one of them is 6, what is the other number?",A) 4,B) 6,C) 8,D) 12,Answer: C
"Q. If the sum of angles in a triangle is 180 degrees and two angles are 45 and 75 degrees, what is the third angle?",A) 50 degrees,B) 60 degrees,C) 80 degrees,D) 100 degrees,Answer: A
"Q. If a shirt originally costs $40 and is on sale for 30% off, what is the sale price?",A) $12,B) $28,C) $32,D) $36,Answer: D
"Q. What is the missing number in the sequence: 5, 10, 20, 40, __?",A) 60,B) 80,C) 100,D) 120,Answer: C
"Q. If the square root of y is 7, what is the value of y?",A) 49,B) 14,C) 7,D) 21,Answer: A
"Q. If the sum of two consecutive integers is 35, what are the integers?",A) 17 and 18,B) 16 and 19,C) 15 and 20,D) 14 and 21,Answer: B
"Q. If a box contains 5 red and 3 blue balls, what is the probability of drawing a blue ball?",A) 1/2,B) 3/8,C) 1/4,D) 3/5,Answer: C
"Q. What is the next letter in the sequence: D, F, H, J, ...?",A) L,B) K,C) I,D) M,Answer: A
"Q. If 2x + 3 = 11, what is the value of x?",A) 4,B) 3,C) 2,D) 5,Answer: A
